timestamp,symbol,side,size,price,tickDirection,trdMatchID,grossValue,homeNotional,foreignNotional,trdType
2024-11-06D00:06:05.112248815,ETHUSD,Buy,1,2429.33,ZeroPlusTick,00000000-006d-1000-0000-000d7e4d9ff2,242933,0.06954103,168.9381,Regular
2024-11-06D00:07:05.948524313,ETHUSD,Sell,14,2427.84,MinusTick,00000000-006d-1000-0000-000d7e5002a2,3398976,0.9735744,2363.683,Regular
2024-11-06D00:07:06.145490932,ETHUSD,Sell,3,2427.7,MinusTick,00000000-006d-1000-0000-000d7e50097e,728310,0.2086231,506.4743,Regular
2024-11-06D00:07:25.919440949,ETHUSD,Sell,14,2425.63,MinusTick,00000000-006d-1000-0000-000d7e50ecb8,3395882,0.9735744,2361.531,Regular
2024-11-06D00:07:33.663232504,ETHUSD,Sell,26,2424.92,MinusTick,00000000-006d-1000-0000-000d7e51584c,6304792,1.80681,4381.37,Regular
2024-11-06D00:07:33.664364861,ETHUSD,Sell,26,2424.85,MinusTick,00000000-006d-1000-0000-000d7e51587f,6304610,1.80681,4381.244,Regular
2024-11-06D00:07:33.668699989,ETHUSD,Sell,26,2424.79,MinusTick,00000000-006d-1000-0000-000d7e5158ee,6304454,1.80681,4381.136,Regular
2024-11-06D00:08:12.026145873,ETHUSD,Buy,14,2426.71,PlusTick,00000000-006d-1000-0000-000d7e52ba54,3397394,0.9728978,2360.941,Regular
2024-11-06D00:08:50.290917945,ETHUSD,Sell,3,2425.94,MinusTick,00000000-006d-1000-0000-000d7e542962,727782,0.2084781,505.7554,Regular
2024-11-06D00:08:50.291730605,ETHUSD,Sell,11,2425.94,ZeroMinusTick,00000000-006d-1000-0000-000d7e54296a,2668534,0.7644197,1854.436,Regular
2024-11-06D00:09:08.732933619,ETHUSD,Sell,14,2423.73,MinusTick,00000000-006d-1000-0000-000d7e55074e,3393222,0.9722222,2356.404,Regular
2024-11-06D00:10:00.999445808,ETHUSD,Buy,14,2424.97,PlusTick,00000000-006d-1000-0000-000d7e570636,3394958,0.9722222,2357.61,Regular
2024-11-06D00:10:02.586387312,ETHUSD,Buy,3,2425.93,PlusTick,00000000-006d-1000-0000-000d7e571bb3,727779,0.2083333,505.4021,Regular
2024-11-06D00:10:21.834496398,ETHUSD,Buy,14,2426.72,PlusTick,00000000-006d-1000-0000-000d7e57e624,3397408,0.9722222,2359.311,Regular
2024-11-06D00:10:40.341440277,ETHUSD,Buy,14,2427.83,PlusTick,00000000-006d-1000-0000-000d7e588d61,3398962,0.9728978,2362.031,Regular
2024-11-06D00:12:39.838070163,ETHUSD,Buy,14,2429.72,PlusTick,00000000-006d-1000-0000-000d7e5d14d9,3401608,0.9735744,2365.513,Regular
2024-11-06D00:12:56.154632754,ETHUSD,Buy,6,2431.52,PlusTick,00000000-006d-1000-0000-000d7e5db5ca,1458912,0.4172462,1014.542,Regular
2024-11-06D00:12:56.154960389,ETHUSD,Buy,7,2431.52,ZeroPlusTick,00000000-006d-1000-0000-000d7e5db5d3,1702064,0.4867872,1183.633,Regular
2024-11-06D00:12:56.155290981,ETHUSD,Buy,1,2431.52,ZeroPlusTick,00000000-006d-1000-0000-000d7e5db5d9,243152,0.06954103,169.0904,Regular
2024-11-06D00:12:56.155290981,ETHUSD,Buy,1,2431.63,PlusTick,00000000-006d-1000-0000-000d7e5db5dc,243163,0.06954103,169.0981,Regular
2024-11-06D00:12:56.155808274,ETHUSD,Buy,6,2431.63,ZeroPlusTick,00000000-006d-1000-0000-000d7e5db5e3,1458978,0.4172462,1014.588,Regular
